Sample_Name	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
BactV5V7-BC246-105_S246_L001	Bact_S105	105	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
BactV5V7-BC247-106_S247_L001	Bact_S106	106	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
BactV5V7-BC248-107_S248_L001	Bact_S107	107	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
BactV5V7-BC249-108_S249_L001	Bact_S108	108	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
BactV5V7-BC275-109_S275_L001	Bact_S109	109	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
BactV5V7-BC250-110_S250_L001	Bact_S110	110	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
BactV5V7-BC251-111_S251_L001	Bact_S111	111	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC252-112_S252_L001	Bact_S112	112	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
BactV5V7-BC276-113_S276_L001	Bact_S113	113	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
BactV5V7-BC277-114_S277_L001	Bact_S114	114	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
BactV5V7-BC278-115_S278_L001	Bact_S115	115	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
BactV5V7-BC253-116_S253_L001	Bact_S116	116	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
BactV5V7-BC254-117_S254_L001	Bact_S117	117	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
BactV5V7-BC255-118_S255_L001	Bact_S118	118	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
BactV5V7-BC256-119_S256_L001	Bact_S119	119	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
BactV5V7-BC257-120_S257_L001	Bact_S120	120	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
BactV5V7-BC279-121_S279_L001	Bact_S121	121	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
BactV5V7-BC280-122_S280_L001	Bact_S122	122	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
BactV5V7-BC281-123_S281_L001	Bact_S123	123	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
BactV5V7-BC258-124_S258_L001	Bact_S124	124	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
BactV5V7-BC259-125_S259_L001	Bact_S125	125	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
