#Sample_Name	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
OomITS-BC7-7_L001	7	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC60-70_L001	70	H. vulgare	BI1	roots	14 dpi	Hv	Hv_BI1_14dpi_roots
OomITS-BC85-71_L001	71	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
OomITS-BC86-72_L001	72	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
OomITS-BC61-73_L001	73	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC62-74_L001	74	H. vulgare	BI1	roots	14 dpi	Hv	Hv_BI1_14dpi_roots
OomITS-BC87-75_L001	75	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
OomITS-BC88-76_L001	76	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
OomITS-BC63-77_L001	77	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
OomITS-BC64-78_L001	78	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
OomITS-BC65-79_L001	79	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC8-8_L001	8	A. thaliana	Col-0	roots	14 dpi	At	At_Col-0_14dpi_roots
OomITS-BC66-80_L001	80	H. vulgare	BI1	soil	14 dpi	Hv	Hv_BI1_14dpi_soil
OomITS-BC67-81_L001	81	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC68-82_L001	82	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
OomITS-BC69-83_L001	83	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
OomITS-BC70-84_L001	84	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
OomITS-BC71-85_L001	85	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
