Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
72;BactV5V7-BC354-225_S354_L001;Bact_S225;225;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.5333310075043;0.0917615760105841
73;BactV5V7-BC355-226_S355_L001;Bact_S226;226;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.69503028936838;0.0612823453184508
74;BactV5V7-BC356-227_S356_L001;Bact_S227;227;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.8701122553413;0.0612823453184508
75;BactV5V7-BC357-228_S357_L001;Bact_S228;228;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.93996408788708;0.0612823453184508
76;BactV5V7-BC358-229_S358_L001;Bact_S229;229;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.79876646836395;0.0612823453184508
77;BactV5V7-BC359-230_S359_L001;Bact_S230;230;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.70106156359794;0.0612823453184508
78;BactV5V7-BC360-231_S360_L001;Bact_S231;231;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.79797376250047;0.0917615760105841
79;BactV5V7-BC361-232_S361_L001;Bact_S232;232;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.79741935475431;0.0917615760105841
80;BactV5V7-BC362-233_S362_L001;Bact_S233;233;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.83218103016497;0.0612823453184508
81;BactV5V7-BC363-234_S363_L001;Bact_S234;234;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.66073545765304;0.0917615760105841
82;BactV5V7-BC364-235_S364_L001;Bact_S235;235;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.64784961770826;0.0612823453184508
83;BactV5V7-BC365-236_S365_L001;Bact_S236;236;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.80649302464047;0.0612823453184508
84;BactV5V7-BC366-237_S366_L001;Bact_S237;237;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.65220710503033;0.0612823453184508
85;BactV5V7-BC367-238_S367_L001;Bact_S238;238;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.52163799567171;0.0612823453184508
86;BactV5V7-BC368-239_S368_L001;Bact_S239;239;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.69280362177393;0.0612823453184508
87;BactV5V7-BC369-240_S369_L001;Bact_S240;240;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.42245583275409;0.0917615760105841
88;BactV5V7-BC370-241_S370_L001;Bact_S241;241;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.72054306103357;0.0917615760105841
