Acidobacteria;Actinobacteria;Armatimonadetes;Bacteroidetes;Chlamydiae;Chloroflexi;Cyanobacteria;Dadabacteria;Deferribacteres;Deinococcus.Thermus;Dependentiae;Elusimicrobia;Entotheonellaeota;FBP;Fibrobacteres;Firmicutes;Fusobacteria;Gemmatimonadetes;Latescibacteria;Nitrospirae;Omnitrophicaeota;Patescibacteria;Planctomycetes;Proteobacteria;Rokubacteria;Spirochaetes;Tenericutes;Verrucomicrobia;Zixibacteria
BactV5V7-BC341-206_S341_L001;1608;7992;50;2637;59;641;48;0;5;0;10;5;44;0;403;2405;0;1077;11;221;0;111;201;19282;0;9;0;1030;0
BactV5V7-BC194-2_S194_L001;1920;5309;6;3403;11;391;70;0;0;0;23;19;0;3;3;1630;0;1383;21;268;0;67;41;22564;0;0;0;961;0
BactV5V7-BC193-1_S193_L001;2546;7011;35;2017;19;718;13;0;0;0;0;18;24;22;27;428;0;2167;20;692;0;91;157;21400;0;0;0;1379;0
BactV5V7-BC217-63_S217_L001;1550;5483;72;3392;9;469;17;0;0;0;13;11;27;20;164;586;0;1305;16;348;0;67;34;24483;0;0;0;799;0
BactV5V7-BC216-62_S216_L001;1402;5582;45;3180;4;418;16;0;0;6;15;0;37;16;42;848;0;1302;0;346;0;55;37;24884;0;0;0;717;0
BactV5V7-BC350-221_S350_L001;1478;5514;32;1312;73;526;34;0;0;0;12;12;34;7;187;1239;0;1072;6;421;0;15;207;26436;0;0;0;1005;0
BactV5V7-BC363-234_S363_L001;904;3991;142;5485;11;354;30;0;0;0;8;0;15;22;429;1108;0;1027;7;277;0;172;70;25421;0;18;0;612;0
BactV5V7-BC252-112_S252_L001;1209;6632;25;2884;8;402;18;0;0;0;14;2;27;9;311;392;0;1054;17;457;0;60;109;25829;0;0;0;768;0
BactV5V7-BC204-30_S204_L001;2294;9382;37;2680;31;569;34;0;0;0;17;22;51;41;76;1076;0;1322;18;576;0;121;126;21085;0;0;0;1070;0
BactV5V7-BC357-228_S357_L001;2047;7109;69;2869;46;824;40;0;0;0;219;51;66;5;476;2151;0;1262;26;432;0;54;185;24684;0;0;0;1192;0
