X.Sample_Name	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
FunITS-BC115-42_S115_L001	Fun_S42	42	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC165-43_S165_L001	Fun_S43	43	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
FunITS-BC116-44_S116_L001	Fun_S44	44	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC166-45_S166_L001	Fun_S45	45	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
FunITS-BC117-46_S117_L001	Fun_S46	46	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
FunITS-BC118-47_S118_L001	Fun_S47	47	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC119-48_S119_L001	Fun_S48	48	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
FunITS-BC340-49_S340_L001	Fun_S49	49	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
FunITS-BC167-50_S167_L001	Fun_S50	50	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
FunITS-BC341-51_S341_L001	Fun_S51	51	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
FunITS-BC168-52_S168_L001	Fun_S52	52	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
FunITS-BC356-53_S356_L001	Fun_S53	53	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
FunITS-BC357-54_S357_L001	Fun_S54	54	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
FunITS-BC120-55_S120_L001	Fun_S55	55	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
FunITS-BC121-56_S121_L001	Fun_S56	56	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
FunITS-BC122-57_S122_L001	Fun_S57	57	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC123-58_S123_L001	Fun_S58	58	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC124-59_S124_L001	Fun_S59	59	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC169-60_S169_L001	Fun_S60	60	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
FunITS-BC125-61_S125_L001	Fun_S61	61	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC126-62_S126_L001	Fun_S62	62	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC127-63_S127_L001	Fun_S63	63	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC128-64_S128_L001	Fun_S64	64	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
FunITS-BC129-65_S129_L001	Fun_S65	65	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
FunITS-BC130-66_S130_L001	Fun_S66	66	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
FunITS-BC131-67_S131_L001	Fun_S67	67	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC132-68_S132_L001	Fun_S68	68	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC133-69_S133_L001	Fun_S69	69	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
FunITS-BC134-70_S134_L001	Fun_S70	70	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC358-71_S358_L001	Fun_S71	71	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
FunITS-BC359-72_S359_L001	Fun_S72	72	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
FunITS-BC135-73_S135_L001	Fun_S73	73	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC136-74_S136_L001	Fun_S74	74	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC360-75_S360_L001	Fun_S75	75	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
FunITS-BC170-76_S170_L001	Fun_S76	76	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
FunITS-BC171-77_S171_L001	Fun_S77	77	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
FunITS-BC137-78_S137_L001	Fun_S78	78	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
