#Sample_Name	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
FunITS-BC313-166_S313_L001	166	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
FunITS-BC314-167_S314_L001	167	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
FunITS-BC315-168_S315_L001	168	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
FunITS-BC316-169_S316_L001	169	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
FunITS-BC317-170_S317_L001	170	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
FunITS-BC375-171_S375_L001	171	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
FunITS-BC318-172_S318_L001	172	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
FunITS-BC319-173_S319_L001	173	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
FunITS-BC320-174_S320_L001	174	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
FunITS-BC321-175_S321_L001	175	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
FunITS-BC322-176_S322_L001	176	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
FunITS-BC376-177_S376_L001	177	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
FunITS-BC19-178_S19_L001	178	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
FunITS-BC20-179_S20_L001	179	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
FunITS-BC21-180_S21_L001	180	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
FunITS-BC22-181_S22_L001	181	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC23-182_S23_L001	182	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC24-183_S24_L001	183	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
